"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1767" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 319 0.0656252842493917 0.0656280876441227
"1768" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 320 0.0656252842493917 0.0656321867030706
"1769" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 321 0.0656252842493917 0.0656201644375692
"1770" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 322 0.0656252842493917 0.0656280643501333
"1771" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 323 0.0656252842493917 0.0656189449162587
"1772" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 324 0.0656252842493917 0.0656264992064022
"1773" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 325 0.0656252842493917 0.0656194483922147
"1774" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 326 0.0656252842493917 0.0656282113185935
"1775" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 327 0.0656252842493917 0.0656207112602585
"1776" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 328 0.0656252842493917 0.0656288202712988
"1777" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 329 0.0656252842493917 0.0656259205790311
"1778" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 330 0.0656252842493917 0.0656252040883907
"1779" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 331 0.0656252842493917 0.0656259188582696
"1780" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 332 0.0656252842493917 0.0656297118257729
"1781" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 333 0.0656252842493917 0.0656299477649193
"1782" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 334 0.0656252842493917 0.0656299334359045
"1783" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 335 0.0656252842493917 0.0656287873899148
"1784" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 336 0.0656252842493917 0.0656249244223617
"1785" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 337 0.0656252842493917 0.0656261707894056
"1786" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 338 0.0656252842493917 0.0656267672246377
